treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_JEI_OBJ_AdventurerBag",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_OBJ_RapierChest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_OBJ_ScimitarChest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_OBJ_SpearsChest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_OBJ_GreatswordChest",1,0,0,0,0,0,0,0
new treasuretable "JEI_OBJ_AdventurerBag_TT"
CanMerge 1
new subtable "1,1"
object category "I_JEI_WPN_Rapier_Murgleis_Base",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Cloth_FiliGilet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Vanity_Body_FiliGilet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_RightArm_NoPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_LeftArm_NoPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_RightArm_RightPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_LeftArm_LeftPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_BothArms_NoPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_BothArms_RightPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_BothArms_LeftPauldron",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_Gloves_ScionsArmguards_BothArms_BothPauldrons",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_JEI_ARM_EdenmornFending_Body",1,0,0,0,0,0,0,0
